url,domain
http://2ahwasada.blogspot.com/2012/03/blog-post_6008.html,Food_and_Drink
"http://alestat.com/www,nedayeenghelab.com.html",Internet_and_Telecom
http://alghad.com/articles/1772612-%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9-%D8%B9%D9%85%D8%A7%D9%86-%D9%8A%D8%AF%D8%B9%D9%85-%D8%A7%D9%8A%D8%AA%D8%A7%D9%85-%D9%85%D8%A4%D8%B3%D8%B3%D8%A9-%D8%AE%D9%8A%D8%B1-%D8%A7%D9%84%D8%A7%D8%B1%D8%AF%D9%86-%D9%84%D9%84%D8%AA%D9%86%D9%85%D9%8A%D8%A9?s=1b9e5aed4621fed71d51e85f8bd7c9fb,News
http://all-in-one.own0.com/t1071-topic,Online_Communities
http://allabouche.ahlamontada.com/f19-montada,Games
http://almohandes.org/t/satellite-proposed-to-send-solar-power-to-earth/35137/,Science
http://almohdar.own0.com/u6,Home_and_Garden
http://almraah.net/f16-48/,Arts_and_Entertainment
http://almuada.mam9.com/t615-topic,Arts_and_Entertainment
http://alsaherlove.blogspot.com/2013/11/blog-post_4.html,Hobbies_and_Leisure
http://amrmahran.com/%D8%A7%D9%84%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%A7%D8%B9%D8%B1%D9%81-%D8%B1%D8%A8%D9%83-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-11-%D8%A7%D8%B3%D9%85-%D8%A7%D9%84%D9%84%D9%87-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85,People_and_Society
http://amshehri.com/,People_and_Society
http://ar.sweetsmachinery.com/Cape-Verde-no40/%D8%A7%D9%84%D8%AA%D9%84%D9%82%D8%A7%D8%A6%D9%8A+%D9%88%D8%B2%D9%86%D9%87%D8%A7%D8%8C+%D8%AD%D9%84+%D8%A7%D9%84%D9%86%D8%B8%D8%A7%D9%85%D8%8C+%D8%A2%D9%84%D8%A9+%D8%AA%D8%B0%D9%88%D9%8A%D8%A8+%D8%A7%D9%84%D8%B3%D9%83%D8%B1%D8%8C+%D8%AA%D8%B0%D9%88%D9%8A%D8%A8+%D9%88%D8%B9%D8%A7%D8%A1+%D8%A7%D9%84%D8%AD%D9%84%D9%88%D9%89.htm,Food_and_Drink
http://arabheroes.montadarabi.com/t1196-topic,Arts_and_Entertainment
http://arabwikileaks.alafdal.net/t440-topic,News
http://arabwikileaks.alafdal.net/t693-topic,News
http://aria0chan.blogspot.com/2016/12/kamisama-hajimemashita-kamisama.html,Arts_and_Entertainment
http://badil.info/tag/%D8%B1%D9%8A%D8%A7%D8%AD/,News
http://berber.ahlamontada.com/t12411-topic,Jobs_and_Education
http://berber.ahlamontada.com/t12664-topic,Jobs_and_Education
http://berber.ahlamontada.com/t19281-topic,People_and_Society
http://berber.ahlamontada.com/t25226-topic,Jobs_and_Education
http://blog.agdn-online.com/amostefaoui/?tag=%D8%B9%D9%84%D9%85%D8%A7%D8%A1+%D9%85%D8%B3%D9%84%D9%85%D9%88%D9%86,People_and_Society
